,14,15,16
0,100092,106249,106358
1,97067,104453,108680
2,98653,105056,105534
3,96591,105537,105644
4,99340,105767,105545
5,96934,104616,106328
6,101304,110582,113355
7,99871,108248,113121
8,98185,104359,103401
9,97770,105816,107775
10,97671,104762,105905
11,97725,104639,106926
12,97235,104928,106253
13,98018,103965,104069
14,100542,109681,113005
15,96268,103422,104075
16,98793,104410,104364
17,95904,102691,103231
18,99822,109432,110648
19,97234,104214,108152
20,100439,109134,112403
21,99167,104929,105223
22,97204,103597,105371
23,99806,109570,113134
24,97791,106446,106685
25,97495,104862,107324
26,96980,104193,103290
27,97784,103384,103826
28,96892,103115,103221
29,95665,103333,106200
30,100551,109620,111567
31,97508,103879,103547
32,97814,103648,103970
33,98531,105942,105694
34,98079,105902,108923
35,99631,106971,108538
36,97237,104045,103879
37,98498,106219,109358
38,98506,105411,106957
39,97608,104204,105703
40,96017,102922,102818
41,97619,103613,102836
42,100376,106624,108469
43,100807,106166,111773
44,99542,105162,106296
45,96938,103260,106670
46,101152,107875,105904
47,96088,104962,104957
48,95908,103167,105034
49,96239,102049,102644
50,96858,104099,106015
51,97660,104120,104417
52,98496,108999,109987
53,99444,104273,105743
54,96841,104274,104799
55,97471,103968,105020
56,96285,103554,103700
57,98082,105087,105869
58,97321,104060,104297
59,97569,103336,103988
60,98651,105371,105481
61,98848,105423,105263
62,100575,106746,109276
63,100334,108893,111652
