,14,15,16
1.592,7.14184111776728e-05,8.68572938953502e-05,0.00011401831371002574
9.1643981991,1.7395364161912367e-06,1.9956355619622846e-06,1.6013978462720425e-06
16.7367963982,1.7395364161912367e-06,1.9956355619622846e-06,1.6013978462720425e-06
24.3091945973,1.7395364161912367e-06,1.9956355619622846e-06,1.6013978462720425e-06
31.8815927964,1.7395364161912367e-06,1.9956355619622846e-06,1.6013978462720425e-06
39.4539909955,1.7395364161912367e-06,1.9956355619622846e-06,1.6013978462720425e-06
47.0263891946,1.7395364161912367e-06,1.9956355619622846e-06,1.6013978462720425e-06
54.5987873937,1.7395364161912367e-06,1.9956355619622846e-06,1.6013978462720425e-06
62.1711855928,1.7395364161912367e-06,1.9956355619622846e-06,1.6013978462720425e-06
69.7435837919,1.7395364161912367e-06,1.9956355619622846e-06,1.6013978462720425e-06
77.315981991,1.7395364161912367e-06,1.9956355619622846e-06,1.6013978462720425e-06
84.8883801901,1.7395364161912367e-06,1.9956355619622846e-06,1.6013978462720425e-06
92.4607783892,1.7395364161912367e-06,1.9956355619622846e-06,1.6013978462720425e-06
100.033176588,2.5255998259148102e-05,2.4054513710168966e-06,1.6013978462720425e-06
107.605574787,1.7184717174014196e-05,7.188773826684861e-06,1.6013978462720425e-06
115.177972986,1.5103547067250646e-05,7.188773826684861e-06,1.6013978462720425e-06
122.750371186,1.3085953217911851e-05,7.188773826684861e-06,1.6013978462720425e-06
130.322769385,2.4375485353211648e-06,1.3252087370277886e-05,1.6013978462720425e-06
137.895167584,2.4375485353211648e-06,4.807984198355233e-05,1.6013978462720425e-06
145.467565783,2.4375485353211648e-06,2.439048262625221e-06,1.6013978462720425e-06
153.039963982,2.4375485353211648e-06,2.439048262625221e-06,1.6013978462720425e-06
160.612362181,2.4375485353211648e-06,2.439048262625221e-06,1.6013978462720425e-06
168.18476038,2.4375485353211648e-06,2.439048262625221e-06,1.0961706918172234e-05
175.757158579,2.4375485353211648e-06,2.439048262625221e-06,1.6526144277812327e-05
183.329556778,2.4375485353211648e-06,2.439048262625221e-06,1.2270482183169805e-05
190.901954977,2.4375485353211648e-06,2.439048262625221e-06,7.344953012361027e-06
198.474353177,1.3298504723501616e-05,2.439048262625221e-06,7.344953012361027e-06
206.046751376,1.3456446350596835e-05,2.439048262625221e-06,7.344953012361027e-06
213.619149575,5.054328580592415e-06,2.439048262625221e-06,7.344953012361027e-06
221.191547774,5.054328580592415e-06,2.439048262625221e-06,9.026701062383078e-06
228.763945973,5.054328580592415e-06,2.854717793126645e-06,1.0169934940192194e-05
236.336344172,5.054328580592415e-06,2.9692761458046185e-06,1.0169934940192194e-05
243.908742371,2.404811115518869e-05,2.9692761458046185e-06,9.51145962659411e-06
251.48114057,3.242399466795135e-06,2.9692761458046185e-06,1.8753071520921773e-06
259.053538769,3.242399466795134e-06,2.9692761458046185e-06,1.8753071520921773e-06
266.625936968,3.242399466795134e-06,2.9692761458046185e-06,1.8753071520921773e-06
274.198335168,3.242399466795134e-06,2.9692761458046185e-06,1.8753071520921773e-06
281.770733367,3.242399466795134e-06,2.9692761458046185e-06,1.8753071520921773e-06
289.343131566,3.242399466795134e-06,2.9692761458046185e-06,1.8753071520921773e-06
296.915529765,3.242399466795134e-06,2.4837256474708648e-05,1.8753071520921773e-06
304.487927964,2.551734699924951e-05,2.7855912068243457e-05,1.8753071520921773e-06
312.060326163,5.370224116879437e-06,8.208428713004819e-06,1.8753071520921773e-06
319.632724362,5.370224116879437e-06,4.656364865011789e-06,1.8753071520921773e-06
327.205122561,5.370224116879437e-06,4.656364865011789e-06,1.8753071520921773e-06
334.77752076,5.5123101193953515e-06,4.656364865011789e-06,1.8753071520921773e-06
342.349918959,8.592358587007122e-06,4.656364865011789e-06,1.8753071520921773e-06
349.922317159,8.592358587007122e-06,4.656364865011789e-06,1.8753071520921773e-06
357.494715358,6.586626554236061e-06,2.606518006686352e-06,1.8753071520921773e-06
365.067113557,2.6851120584397205e-06,2.3281824325058928e-06,1.8753071520921773e-06
372.639511756,2.6851120584397205e-06,2.3281824325058928e-06,1.8753071520921773e-06
380.211909955,2.6851120584397205e-06,2.3281824325058928e-06,1.8753071520921773e-06
387.784308154,2.6851120584397205e-06,2.3281824325058928e-06,2.25699656844111e-06
395.356706353,2.6851120584397205e-06,2.3281824325058928e-06,3.30522885556246e-05
