,14,15,16
0,55813,59200,56173
1,43615,47021,54728
2,42950,61044,57303
3,56749,55243,54329
4,62423,62386,60589
5,42975,63195,57171
6,56870,61030,57843
7,55424,54535,55797
8,56433,58517,57837
9,55875,53934,53798
10,55592,53658,56375
11,56532,58033,56629
12,56127,53519,51388
13,55102,54999,57130
14,56741,57454,53112
15,56448,59155,57018
16,52131,48891,53219
17,43781,46277,54559
18,54499,52728,59639
19,57214,58332,58795
20,51219,56783,52642
21,55037,52984,52126
22,54468,55944,52298
23,55805,55847,51806
24,55367,55663,57815
25,44249,56216,51657
26,52845,53573,58327
27,56232,58594,58275
28,60970,62271,57379
29,58425,63149,57513
30,55986,55511,58848
31,56877,55616,52612
32,56730,57377,51786
33,58451,58730,58221
34,51815,47225,58746
35,51683,56652,50590
36,56375,56928,52719
37,42771,47747,58479
38,58750,62133,58208
39,50910,54529,58025
40,43106,61013,59068
41,61965,61750,57293
42,55824,56443,52399
43,54632,48383,58349
44,56493,59594,56750
45,55540,54606,53198
46,43195,47550,52365
47,61584,62435,58261
48,43904,46618,57218
49,56113,54431,55493
50,56357,54220,57897
51,55795,53996,50900
52,54689,47624,58330
53,55488,54942,59460
54,53139,53001,52278
55,56577,55820,52837
56,52711,48715,52968
57,55034,47683,57511
58,54607,47007,54786
59,55572,55174,57592
60,55876,56699,59342
61,43879,50722,57671
62,53391,52866,52680
63,56560,59087,58018
