,14,15,16
0,96854,104200,105342
1,98335,107822,109155
2,95490,104893,105639
3,98789,106000,108154
4,97728,103195,104095
5,97685,103425,105120
6,95922,104567,105341
7,98111,104615,106698
8,97130,104910,105538
9,96452,105647,107482
10,97590,103878,104531
11,98746,105171,106650
12,95298,104489,104189
13,95475,104190,104689
14,95737,104078,104340
15,95021,104483,104452
16,96987,103342,104031
17,97129,103996,104634
18,99228,106610,108402
19,95243,104534,104833
20,97226,103895,105929
21,95450,104780,105861
22,96727,106707,108228
23,99186,109189,111844
24,97291,104314,106436
25,95701,104505,104412
26,95773,104932,104360
27,98018,104312,106686
28,95570,104602,105125
29,98135,104619,106648
30,98054,105226,105299
31,99518,105949,108373
32,97226,103657,105715
33,97169,103728,104807
34,96193,104178,104046
35,97660,107167,110111
36,98917,106397,109749
37,94756,104257,105802
38,95292,104405,104359
39,95329,105163,104694
40,97239,104117,105063
41,97274,103695,104909
42,98187,105279,105639
43,96350,105265,105698
44,96702,104845,105760
45,95344,105453,106455
46,97105,103552,104960
47,98196,104604,105786
48,97301,103813,105602
49,99868,106833,107996
50,97522,103533,105406
51,96778,104825,104965
52,96291,104983,104280
53,96704,103361,104945
54,95483,104133,104257
55,95408,104448,103982
56,95840,104586,104714
57,95937,105013,104847
58,99097,107281,110355
59,97891,104778,105662
60,95845,104544,103864
61,96315,105056,106097
62,95322,104129,103542
63,95670,104460,104720
