,14,15,16
0,62535,62659,60167
1,61686,61772,60807
2,61842,64039,58910
3,61747,62245,59988
4,61436,61715,59405
5,61500,62596,59552
6,61306,62088,59255
7,60429,62026,59811
8,61704,62608,60939
9,61958,63188,60729
10,61459,61665,60161
11,61367,62764,58880
12,61102,62708,61664
13,62983,62183,61133
14,61518,61924,59108
15,62490,61589,60491
16,65009,68948,76059
17,62928,64145,66172
18,62839,61366,60447
19,61833,61929,62450
20,61108,62494,58818
21,61399,60999,59015
22,61498,61827,59887
23,62075,62490,59920
24,61923,61815,60382
25,62188,61716,60243
26,61923,62131,60160
27,62130,62003,59525
28,61970,62868,59553
29,67888,74295,86078
30,61795,62689,58996
31,61272,61474,59535
32,61421,63638,62025
33,60518,61430,61316
34,62035,62372,59645
35,62093,60644,60314
36,60745,61257,61425
37,62454,62415,60817
38,61732,61179,60308
39,62612,62436,59434
40,61578,61300,60684
41,70112,75679,59504
42,64644,67715,72632
43,60378,62249,59601
44,60815,61587,59442
45,71992,78595,60007
46,62211,62506,61363
47,63915,66692,72511
48,71678,79235,60581
49,63268,62977,60553
50,62377,62008,59495
51,61562,62275,60471
52,60530,62192,58954
53,62194,62487,61392
54,61665,62534,60746
55,74307,62978,60877
56,60795,61318,60881
57,61328,61810,60949
58,61725,62427,59920
59,62067,63391,62821
60,61610,62037,59147
61,72482,79925,61389
62,61548,61448,60999
63,61524,62448,61871
