,14,15,16
0,14423,13830,12864
1,13698,13556,13271
2,16684,17233,16664
3,14401,14768,13190
4,16481,17322,16692
5,16671,16490,16109
6,14349,13969,13975
7,16803,17308,17259
8,16199,16559,16504
9,14088,13408,12379
10,14772,14106,13213
11,17147,17126,16470
12,14688,13666,12352
13,13979,13026,12652
14,16187,17017,16734
15,16275,17103,15844
16,16560,17155,16777
17,16861,17369,16528
18,17211,15878,15635
19,15345,14101,12501
20,17276,16049,17219
21,16207,16661,16405
22,15011,14161,12737
23,16362,16728,16274
24,14482,14581,13227
25,14112,14262,12493
26,14408,14235,13104
27,13895,14188,13238
28,13908,13304,12156
29,13519,13222,12222
30,14340,13924,12963
31,16624,17549,16996
32,16327,17384,16797
33,14676,13321,13253
34,14683,14130,13183
35,16271,16669,16432
36,13707,13882,12523
37,16405,16538,17113
38,16213,16577,15978
39,16378,16754,16471
40,16642,17347,17501
41,14786,13613,12699
42,16793,16977,16389
43,14234,13289,12456
44,14525,13658,12459
45,14625,14056,13383
46,16434,17268,16572
47,14686,13862,12938
48,14081,14278,12418
49,14785,13428,12589
50,16530,17057,16046
51,13950,13318,13390
52,16755,16262,16283
53,14844,14164,12804
54,16845,17421,17372
55,14127,13614,13088
56,17277,16723,16489
57,16849,16725,16106
58,16437,16373,16229
59,13720,13632,12404
60,14377,13798,13555
61,16765,17539,16889
62,14621,14598,13235
63,16223,16315,15937
