,14,15,16
0,18630,35701,69819
1,23423,44800,85532
2,18349,35257,68462
3,18858,38030,71124
4,23406,43878,85447
5,18924,35804,69377
6,23056,43903,85036
7,18411,35145,69879
8,23126,44615,85059
9,18413,36533,70021
10,22703,43665,84443
11,23045,44135,84363
12,18607,36007,70555
13,18451,36233,72174
14,18892,35788,70060
15,22850,43617,83601
16,23105,43498,84517
17,19168,35917,70265
18,18911,36757,68944
19,18457,35688,70284
20,22753,43733,84869
21,22910,43714,83118
22,19051,36621,71290
23,18418,35540,69226
24,18568,36227,69136
25,19031,36478,71064
26,19023,36265,70224
27,23243,43887,85222
28,19074,35758,70389
29,23273,43809,85110
30,18693,35966,69785
31,18136,36026,69482
32,18716,35762,70719
33,22921,43362,84222
34,18106,36315,69687
35,18400,36255,69906
36,23203,44360,85257
37,23015,43165,84883
38,23021,43240,83898
39,18864,36704,70188
40,18221,35525,69348
41,23423,44107,85310
42,19029,36011,70184
43,18718,36269,69492
44,23305,43929,84662
45,23266,44459,85110
46,23012,43932,85207
47,22779,43980,85656
48,18373,36101,69068
49,23077,43868,85433
50,18404,35340,69639
51,23078,43607,83223
52,18322,35758,68417
53,18760,35507,68389
54,23150,43619,84969
55,18889,36042,70826
56,18926,36532,70576
57,22717,43715,84091
58,19200,36250,70305
59,23680,43507,84748
60,23221,43575,84908
61,23135,43722,84598
62,18974,36114,70120
63,23355,43784,84918
