,14,15,16
0,63831,67799,66775
1,81684,85083,83648
2,66842,69116,69067
3,80140,80283,76986
4,69073,69794,64668
5,67871,63788,66420
6,69241,71341,69870
7,81221,84041,79870
8,80476,91044,83146
9,81451,82336,81196
10,67541,67574,70232
11,79554,82231,80164
12,69492,70157,73157
13,82335,82911,79172
14,64993,69581,70023
15,69176,71191,66258
16,66635,70087,69193
17,66309,68749,66835
18,68477,62337,65025
19,77399,86053,82411
20,67934,70999,66608
21,67687,63580,63290
22,63756,62476,65423
23,66271,69067,68576
24,77751,83666,77888
25,66422,68626,65642
26,69716,64941,63546
27,65676,65481,65212
28,81188,79783,79394
29,82638,83549,84286
30,82147,84117,81957
31,79047,82231,80309
32,66487,66072,69445
33,81368,82139,80837
34,67135,65792,65225
35,67972,69905,64424
36,83078,83194,81909
37,76702,83357,81504
38,65271,64991,68067
39,61616,65810,64990
40,81931,84477,80849
41,81862,84110,77596
42,78899,81973,84960
43,79756,80460,75408
44,78544,77403,76102
45,83276,83759,84327
46,82439,86809,105810
47,66332,66106,61384
48,71024,67079,65859
49,67046,70773,70534
50,70068,64700,66229
51,84268,80868,79807
52,67719,67480,64246
53,64106,66241,62596
54,69001,64778,68627
55,84795,87659,100813
56,70844,64482,64467
57,87677,85080,81902
58,83567,80271,80851
59,70610,66990,66925
60,66581,68270,68228
61,84949,84661,82346
62,67495,64260,60385
63,83430,82933,80205
