,14,15,16
0,18709,16009,13317
1,20321,18584,13250
2,16686,11647,9547
3,28378,21410,16299
4,16734,12599,9851
5,15918,11075,8893
6,28127,20350,14907
7,15823,11523,9049
8,28944,20285,14405
9,27400,20857,15865
10,17740,12898,10481
11,20154,12117,9148
12,30363,28130,25155
13,15629,12452,9195
14,16708,12092,10450
15,29434,24798,23083
16,16078,11236,8860
17,16543,12123,9974
18,16412,11457,8819
19,19026,16367,13157
20,15902,11310,9113
21,27788,20236,14580
22,28339,20117,14550
23,15900,11783,9201
24,28503,22614,16144
25,27671,19861,14508
26,16706,12366,11383
27,16100,13295,9268
28,29954,23091,23141
29,29840,20378,14933
30,30060,27870,24719
31,16619,13598,12766
32,28988,21528,15983
33,15728,11259,9231
34,15985,11739,9111
35,29346,20756,14804
36,28197,20894,16099
37,16077,12371,9346
38,18526,15440,12931
39,16075,11311,9172
40,15588,11349,8886
41,15892,11242,9183
42,18727,15426,12699
43,16742,12333,10158
44,28499,20193,14998
45,15712,11781,9390
46,17582,11666,9120
47,20031,18433,13226
48,28223,20422,14536
49,16228,12092,9062
50,15746,12109,9332
51,15776,11874,9267
52,16184,11267,8916
53,28974,20715,14860
54,15646,12148,9365
55,27921,20793,15742
56,27449,19760,14876
57,27934,20495,14828
58,28364,19839,14580
59,19059,16230,13100
60,16007,11995,9001
61,27538,20487,14743
62,15883,11099,9438
63,28248,20963,16149
