,14,15,16
0,68,144,262
1,106,167,549
2,94,193,499
3,61,144,277
4,96,193,451
5,59,159,233
6,72,145,305
7,74,184,287
8,63,152,356
9,101,163,530
10,88,143,291
11,63,162,272
12,98,172,515
13,92,163,574
14,94,182,496
15,66,147,312
16,77,155,325
17,70,153,251
18,64,142,271
19,99,171,547
20,94,177,555
21,66,135,312
22,55,140,252
23,69,147,262
24,74,150,292
25,64,140,276
26,72,138,281
27,75,145,228
28,60,155,333
29,74,155,288
30,60,158,284
31,97,192,532
32,62,153,285
33,64,153,313
34,73,179,267
35,60,146,314
36,64,188,253
37,78,189,293
38,71,146,276
39,90,162,587
40,114,177,581
41,83,162,263
42,98,163,562
43,107,169,521
44,77,150,326
45,95,188,566
46,92,198,572
47,108,180,523
48,102,164,534
49,70,166,243
50,80,145,282
51,115,203,498
52,59,141,321
53,94,180,435
54,110,195,514
55,77,146,287
56,112,200,436
57,96,177,556
58,102,196,523
59,93,164,567
60,67,146,273
61,91,192,531
62,87,150,426
63,106,171,506
