,14,15,16
0,22118,16550,13079
1,19482,23239,20240
2,20420,15868,12205
3,15918,15635,10317
4,15963,15492,9687
5,17012,15353,9623
6,22041,17445,12856
7,23145,17688,12645
8,16257,15327,10284
9,22576,16804,12721
10,20082,16739,11195
11,22270,17994,15931
12,17677,17951,16130
13,22852,16822,12749
14,15892,15267,9530
15,16131,16233,11852
16,17546,15958,10628
17,22157,17213,13298
18,22753,17298,12415
19,16903,15926,10144
20,15542,15925,10494
21,16556,15474,9569
22,16754,15646,10074
23,16502,16218,11516
24,19381,15491,10265
25,22669,17076,12492
26,17271,15997,10398
27,22060,18443,17115
28,26649,18568,14282
29,22936,16943,12739
30,22694,17036,12299
31,15873,15240,10435
32,16421,15634,10475
33,17410,16091,10114
34,21965,16124,9695
35,22384,17148,12725
36,31758,26520,18895
37,16689,14795,10266
38,24579,20722,15020
39,22825,17487,11856
40,22189,17545,13072
41,16673,15253,10596
42,16461,15441,9852
43,15924,15614,10977
44,16663,15513,9946
45,21428,17205,12309
46,22706,16794,12447
47,22977,17265,12973
48,22926,20245,14590
49,24754,20293,14806
50,15927,15560,10991
51,23456,17797,15079
52,16269,15480,10145
53,19098,34147,22142
54,23499,21291,14777
55,23067,17117,12688
56,16892,16175,10324
57,22285,17446,12898
58,16431,15282,10890
59,22300,17318,13183
60,25171,21281,13913
61,19252,24712,21852
62,23444,19525,15454
63,16637,15104,10940
