,14,15,16
0,59698,62570,52369
1,58155,58167,58664
2,60055,58558,53558
3,109849,110957,106381
4,59828,56746,59900
5,108013,113324,103836
6,60906,60764,55688
7,116061,110056,106052
8,60343,57091,59591
9,62628,60756,57722
10,60628,60288,54007
11,59895,64617,57686
12,112279,105353,113720
13,110474,110461,106194
14,115377,114793,112357
15,60078,54750,58908
16,111496,112262,109444
17,61322,60738,56379
18,112979,111722,105768
19,60852,60235,57722
20,62544,61448,58346
21,58421,63863,55170
22,60824,57955,58255
23,62905,57860,56063
24,62622,58910,52905
25,61398,62694,57591
26,110952,110752,109773
27,63544,59396,57403
28,110107,109126,107291
29,62649,60962,56094
30,112868,108349,107204
31,62330,55880,57852
32,57733,59057,57984
33,112523,112339,104894
34,61610,63562,57692
35,114382,111765,106803
36,62351,57598,56977
37,58586,59416,55685
38,60325,59892,57251
39,58251,61837,57908
40,64347,59317,54675
41,59862,55333,59727
42,61373,62568,55816
43,113677,110128,108903
44,58525,60601,52085
45,63059,59476,56320
46,112108,109113,106493
47,63158,59404,54332
48,61067,60583,58551
49,57241,56417,52338
50,63780,57326,55684
51,112736,103690,105307
52,58780,56553,55288
53,60752,58011,56748
54,59363,59106,56691
55,112607,110108,99403
56,114048,112085,108828
57,112375,110563,106894
58,62402,57850,58679
59,61472,63107,56881
60,113727,109535,95286
61,117051,114995,109511
62,112691,111727,114059
63,56330,58979,57726
