,14,15,16
1.656,1.0,0.6932639384011159,0.18034157083770583
1218.6118099,0.051047473346343,0.32840757474822413,0.7124077120950849
2435.56761981,0.0029443316343009834,0.01904747980943383,0.13046832136161335
3652.52342971,0.0004013639278520608,0.0067309155556610325,0.008563787357258844
4869.47923962,0.00014816872421303208,0.0027422657832290994,0.006012362477626366
6086.43504952,7.606248412426287e-05,0.0013781194864535325,0.004109256854905686
7303.39085943,9.591135586029084e-05,0.0006445035710488235,0.0023735219233966833
8520.34666933,5.406645019576101e-05,0.00027260455358089013,0.001355462618296016
9737.30247924,3.981337916127779e-05,0.00013740875793961225,0.0008836846046488818
10954.2582891,1.755490968092729e-05,0.0001182149786225252,0.0006076643617444295
12171.214099,1.8940765647255637e-05,5.9950590857021174e-05,0.0005118494484933943
13388.169909,1.3501748559672633e-05,5.333895333584351e-05,0.00037493328866975903
14605.1257189,6.723995728379596e-06,3.467542892715045e-05,0.0002610181925167318
15822.0815288,1.945178885662579e-06,3.223745279192693e-05,0.0003009291154366133
17039.0373387,1.9055052083168863e-06,1.867651207518654e-05,0.00022271994361953195
18255.9931486,2.7593483850206105e-06,1.370911486543141e-05,0.00016949269975291973
19472.9489585,1.4519500995166375e-06,1.51017833477911e-05,0.00011041588583394575
20689.9047684,1.0110536721167243e-06,6.600098091287287e-06,0.0001408477532228966
21906.8605783,1.327123751379911e-06,1.0160110270439614e-05,8.293356469095017e-05
23123.8163882,4.1823982178752677e-07,3.6341291572401972e-06,0.00010032695956055348
24340.7721981,4.1823982178752677e-07,2.7649022612972506e-06,5.723887558156096e-05
25557.728008,4.16429712222053e-07,1.2262863676613945e-06,0.00010710618505617389
26774.6838179,4.0505461724102133e-07,1.2262863676613945e-06,7.804474373802005e-05
27991.6396278,4.0505461724102133e-07,1.0231816261498345e-06,6.864148978090204e-05
29208.5954377,4.0505461724102133e-07,1.5323681409099143e-06,6.120905958514006e-05
30425.5512476,8.730046044873543e-07,1.5629837310709103e-06,3.179040944707795e-05
31642.5070575,5.683165524500577e-07,3.7468772760215797e-06,4.3865859250167594e-05
32859.4628674,2.461494157495708e-06,1.86162442772889e-06,2.7959215578986365e-05
34076.4186773,8.590377919025838e-07,1.3186304956521302e-06,3.523162903709396e-05
35293.3744872,8.305505530734539e-07,9.646033147555125e-07,2.8845543264650743e-05
36510.3302971,3.7963451802392444e-07,2.058315162938832e-06,1.4622335012280981e-05
37727.2861071,5.67986397905639e-07,1.0066751214767532e-06,1.4313089878458686e-05
38944.241917,6.140235951741718e-07,1.0066751214767532e-06,1.344460003113464e-05
40161.1977269,5.664165990681419e-07,8.777222372338788e-07,2.6628389661816224e-05
41378.1535368,3.525170383351447e-07,2.9833333327171146e-07,1.3733651759541535e-05
42595.1093467,3.478376530520918e-07,6.5085013418795e-07,1.5279983275852867e-05
43812.0651566,1.8511312572741834e-07,2.005445092508859e-07,1.2297112954558063e-05
45029.0209665,1.8511312572741834e-07,2.005445092508859e-07,5.635739002926936e-06
46245.9767764,2.0046426243155223e-07,2.005445092508859e-07,4.3712580075306905e-06
47462.9325863,7.916588695436931e-07,2.005445092508859e-07,4.67915350994782e-06
48679.8883962,3.237330869460916e-07,2.005445092508859e-07,3.1170486054559447e-06
49896.8442061,3.237330869460916e-07,2.005445092508859e-07,3.05694477481595e-06
51113.800016,3.559732944563719e-07,6.174679673535453e-07,6.449606376256496e-06
52330.7558259,5.628247960560599e-07,1.7566985086724116e-07,4.040705150373181e-06
53547.7116358,4.334569104242252e-07,1.7566985086724116e-07,4.971269318648236e-06
54764.6674457,2.4623275299622497e-07,1.7566985086724116e-07,6.805088951432747e-06
55981.6232556,1.1281527778948822e-07,1.7566985086724116e-07,1.9643341163670893e-06
57198.5790655,1.1281527778948822e-07,1.7566985086724116e-07,1.7756190980736072e-06
58415.5348754,1.1281527778948822e-07,1.7566985086724116e-07,4.247917236807083e-06
59632.4906853,1.1281527778948822e-07,1.7566985086724116e-07,1.5104825902699927e-06
60849.4464952,1.1281527778948822e-07,1.7566985086724116e-07,1.5104825902699927e-06
62066.4023052,1.1281527778948822e-07,1.7566985086724116e-07,1.5088622099334819e-06
63283.3581151,1.1281527778948822e-07,1.7566985086724116e-07,1.4919935590337467e-06
64500.313925,1.1281527778948822e-07,1.7566985086724116e-07,1.4919935590337467e-06
65717.2697349,1.217360831599383e-06,1.7566985086724116e-07,1.4919935590337467e-06
66934.2255448,4.924869433514553e-07,1.7566985086724116e-07,1.5815338579012334e-06
68151.1813547,9.829528319809803e-08,1.7566985086724116e-07,1.7023418451753378e-06
69368.1371646,9.829528319809803e-08,1.7566985086724116e-07,1.7023418451753378e-06
70585.0929745,9.829528319809803e-08,1.7566985086724116e-07,1.320570785456531e-06
71802.0487844,9.829528319809803e-08,1.7566985086724116e-07,1.2482637729495852e-06
73019.0045943,9.829528319809803e-08,1.7566985086724116e-07,1.258255301710653e-06
74235.9604042,9.829528319809803e-08,1.7566985086724116e-07,1.2873167843010597e-06
75452.9162141,9.829528319809803e-08,1.7566985086724116e-07,2.188044051233223e-06
76669.872024,9.829528319809803e-08,1.7566985086724116e-07,2.8859966717122987e-06
77886.8278339,9.829528319809803e-08,1.7566985086724116e-07,3.5493222882520952e-06
79103.7836438,9.829528319809803e-08,1.7566985086724116e-07,3.7163381361652953e-06
80320.7394537,9.829528319809803e-08,1.7566985086724116e-07,3.4739029768849877e-06
81537.6952636,9.829528319809803e-08,1.7566985086724116e-07,2.0170086978871307e-06
82754.6510735,9.829528319809803e-08,1.7566985086724116e-07,9.298170193935997e-07
83971.6068834,9.829528319809803e-08,1.7566985086724116e-07,9.298170193935997e-07
85188.5626933,9.829528319809803e-08,1.7566985086724116e-07,9.298170193935997e-07
86405.5185033,9.829528319809803e-08,1.7566985086724116e-07,9.298170193935997e-07
87622.4743132,9.829528319809803e-08,1.7566985086724116e-07,9.298170193935997e-07
88839.4301231,9.829528319809803e-08,1.7566985086724116e-07,9.298170193935997e-07
90056.385933,9.829528319809803e-08,1.7566985086724116e-07,9.298170193935997e-07
