,14,15,16
3.824,0.0010722529376422727,0.001265103228019706,0.001808480943694913
13.7229734867,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
23.6219469735,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
33.5209204602,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
43.419893947,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
53.3188674337,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
63.2178409205,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
73.1168144072,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
83.0157878939,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
92.9147613807,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
102.813734867,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
112.712708354,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
122.611681841,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
132.510655328,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
142.409628814,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
152.308602301,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
162.207575788,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
172.106549275,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
182.005522761,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
191.904496248,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
201.803469735,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
211.702443222,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
221.601416708,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
231.500390195,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
241.399363682,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
251.298337169,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
261.197310655,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
271.096284142,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
280.995257629,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
290.894231116,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
300.793204602,1.7377830173795504e-05,8.491224853961097e-06,7.241620284090628e-06
