,14,15,16
0,153,469,265
1,145,285,289
2,227,292,391
3,73,2102,934
4,167,410,295
5,117,299,342
6,116,2028,337
7,118,307,630
8,101,303,2750
9,127,353,336
10,120,220,385
11,147,272,585
12,102,191,2605
13,80,213,290
14,85,136,333
15,98,426,321
16,123,360,9625
17,951,219,299
18,88,256,344
19,106,456,257
20,128,326,804
21,102,325,438
22,168,467,267
23,117,2583,2837
24,129,371,579
25,76,307,880
26,76,2047,348
27,110,1886,382
28,6205,421,398
29,130,251,516
30,136,317,796
31,196,337,3387
32,155,567,483
33,69,414,338
34,138,368,3694
35,85,197,2816
36,161,236,2810
37,403,351,611
38,100,445,525
39,183,182,55714
40,53,286,451
41,168,1900,373
42,128,1434,211
43,97,396,343
44,185,267,445
45,157,341,710
46,117,238,510
47,86,402,358
48,118,246,476
49,86,446,540
50,167,267,3224
51,121,198,456
52,126,242,386
53,178,160,287
54,65,277,483
55,92,396,228
56,157,344,531
57,101,264,384
58,119,674,558
59,135,251,257
60,133,351,228
61,120,1969,298
62,96,298,332
63,160,408,451
