,14,15,16
0,14826,14570,16233
1,15036,14698,16057
2,14713,14416,13814
3,14558,14744,15798
4,15279,15298,16372
5,15453,14608,14432
6,15676,14801,14326
7,15669,14754,17104
8,14773,15113,14146
9,15358,14541,14127
10,15365,14958,15466
11,15379,14618,15246
12,16041,15142,16114
13,15684,15125,16013
14,16027,14981,16415
15,14296,14101,14043
16,15702,15295,16931
17,15146,14911,13777
18,15599,14688,14117
19,14570,13688,16505
20,15547,15230,16477
21,16017,15079,16870
22,14225,14559,14042
23,15528,14308,14386
24,15418,14849,16078
25,14826,14479,14337
26,14641,14478,14132
27,15323,14655,15909
28,14915,14327,14306
29,14857,14823,14460
30,15660,14780,13825
31,14939,14064,13675
32,14722,14502,15800
33,14989,14708,15615
34,15228,15121,14157
35,15842,15239,16145
36,15508,14511,15602
37,15721,15555,16293
38,15900,15555,14585
39,15652,15360,14594
40,15475,14927,16651
41,15525,14301,14623
42,16016,14942,14640
43,14898,14591,15014
44,15289,15222,16595
45,15875,15431,17157
46,15246,14681,14343
47,14739,14436,14117
48,14855,13810,15234
49,15438,15619,15849
50,15038,14434,13420
51,15255,14150,15458
52,15333,14904,15621
53,15600,15147,16209
54,14853,14180,15585
55,15080,14301,16383
56,15154,15026,14512
57,16412,14946,17257
58,14818,15292,15771
59,15269,14772,14260
60,14507,14546,13922
61,15657,14104,14628
62,15111,14788,14130
63,15611,15300,14626
