,14,15,16
0,74854,78264,75879
1,72230,77144,71515
2,73073,75777,71937
3,69460,73747,71097
4,71066,73214,72993
5,74169,77173,74591
6,100697,103140,99983
7,99251,100157,94123
8,70940,74194,72056
9,70326,74113,72901
10,97979,89911,93215
11,96640,100161,102761
12,69313,74231,74861
13,102092,101488,94450
14,101542,102137,96685
15,98639,99280,98582
16,71775,73996,72492
17,73802,74945,75450
18,75705,76458,73834
19,76918,76191,75567
20,72165,76486,71391
21,100027,99314,93444
22,74996,75741,75041
23,83778,89320,96781
24,69116,72056,72470
25,80780,101683,95772
26,97314,98223,96492
27,69783,73562,71446
28,73756,76085,74036
29,68732,73426,70345
30,83600,101689,98173
31,70763,73793,72244
32,97834,100740,103525
33,98031,98681,97251
34,97394,103456,98458
35,104298,98809,101199
36,72804,73710,71822
37,71476,72617,75609
38,71641,74823,74813
39,68521,73954,72385
40,96743,99705,94650
41,98061,99175,97118
42,69728,72871,70801
43,96339,98957,98859
44,67271,71242,70072
45,103110,102020,99102
46,69975,73310,71447
47,74541,76554,74619
48,71556,74433,70410
49,79873,100379,95227
50,98240,100272,98441
51,71638,71675,71523
52,103547,100861,102271
53,74690,73464,74903
54,71784,77814,74881
55,99983,97582,100106
56,66466,71230,70702
57,70590,75211,72210
58,72313,73184,69648
59,69561,70658,70894
60,89840,103475,97323
61,98136,103717,96231
62,96275,98042,95932
63,69022,72893,70783
