,14,15,16
0,64100,88405,92218
1,65534,87796,93776
2,93800,123142,118662
3,64231,90116,91503
4,96527,120655,118458
5,95362,122793,118633
6,93356,121845,118268
7,65431,87902,91738
8,93524,121703,120201
9,65920,87722,92645
10,63455,88145,92310
11,94222,120848,120292
12,64089,88433,91921
13,64813,87596,92082
14,95915,121814,117995
15,64461,89335,92045
16,65013,88574,92704
17,63390,88441,92319
18,93447,120846,119398
19,92900,122006,117982
20,95433,122015,118212
21,93005,120281,118737
22,64910,90687,93447
23,63433,90033,92811
24,65040,88449,92685
25,62708,89833,92749
26,95327,120272,119780
27,62928,88660,92553
28,65936,89087,92223
29,95785,122162,117967
30,65420,89203,91536
31,93888,121459,118020
32,65475,87996,93364
33,92588,121693,119104
34,63430,88629,93432
35,63473,90435,91753
36,93880,120381,120275
37,63670,88658,93500
38,93607,121176,119343
39,93081,122186,117803
40,63494,87671,92148
41,65443,88307,94370
42,63627,89935,93717
43,93483,120813,117999
44,64814,87956,92791
45,94434,122553,118603
46,64865,89239,93114
47,65330,87893,91996
48,96511,120957,117928
49,65886,88779,93304
50,92629,121405,118120
51,65179,87598,93667
52,63777,89959,93578
53,94271,120689,119010
54,63467,88506,92383
55,92795,121813,119597
56,93645,120609,119974
57,65646,90193,91839
58,93623,122998,118511
59,93204,120099,119625
60,65780,88265,93155
61,65511,88065,92109
62,94303,120371,117865
63,94016,120036,118385
