,14,15,16
0,10590,12372,11954
1,8983,9354,9459
2,10946,11853,12164
3,9297,9357,8984
4,10709,11822,11861
5,10630,11744,11880
6,9391,9346,9218
7,10644,11774,12030
8,9026,9547,9154
9,10820,11875,12202
10,11067,11907,11636
11,11264,12315,12255
12,9131,9370,9187
13,9257,9621,8869
14,10809,11703,12226
15,12469,13570,13500
16,9113,9574,9179
17,9643,9651,8995
18,9024,9475,9145
19,11472,11920,12878
20,9099,9330,9601
21,11196,11786,11966
22,9054,9225,9661
23,9096,9206,8808
24,10779,11895,11907
25,9148,9842,9139
26,11528,11752,12191
27,10860,11830,12132
28,9106,9461,9162
29,9068,9486,9110
30,10910,11974,12152
31,9073,9366,9797
32,10775,12582,12093
33,10840,11988,12015
34,9218,9344,8868
35,11068,11837,12123
36,10951,11957,11836
37,10946,12020,12195
38,10101,10726,8917
39,9012,10117,9140
40,9105,9309,10249
41,9218,9626,9234
42,11141,11757,11882
43,11064,11980,11834
44,10852,11744,12089
45,8925,9608,9171
46,11200,11820,12118
47,9439,9196,8787
48,9264,9197,9223
49,12553,13518,14775
50,11928,12637,12839
51,12449,13992,13606
52,9149,9277,8977
53,9121,9296,9073
54,9094,9358,10719
55,10867,11737,11496
56,9210,9284,10305
57,9235,9583,9206
58,10904,11890,11921
59,9191,9923,9146
60,10913,11884,12358
61,11005,11662,12057
62,9239,9367,8969
63,9316,9323,9290
