,14,15,16
0,11034,9922,9586
1,12302,11331,11164
2,11029,9923,9584
3,11548,11313,11076
4,11079,10014,9620
5,11129,10058,9630
6,11861,12107,12005
7,11544,11305,11068
8,11070,9925,9580
9,11544,11312,11080
10,11578,11332,11141
11,11030,9919,9579
12,11082,10008,9644
13,11582,11327,11104
14,11038,9953,9548
15,11028,9916,9511
16,11577,11331,11188
17,11541,11331,10590
18,11037,9928,9578
19,11059,9976,9582
20,11546,11315,11060
21,11548,11311,11120
22,11070,9984,9582
23,11107,10055,9622
24,11098,10058,9679
25,11027,9919,9582
26,11546,11331,11082
27,11958,11483,11058
28,11108,10006,9611
29,11059,9990,9594
30,11029,9876,9515
31,11533,11309,11072
32,11614,11344,11134
33,11339,10195,9942
34,11547,11303,11058
35,11098,10009,9597
36,11079,9995,9609
37,11036,9965,9550
38,13430,12702,12529
39,11548,11328,11164
40,11140,10017,9600
41,17039,17409,11147
42,11544,11319,11103
43,11549,11329,10998
44,11088,10022,9602
45,11613,11346,11115
46,11547,11316,11062
47,11583,11330,11085
48,11615,11328,11183
49,11795,11705,10922
50,11073,9936,9581
51,11573,11337,11179
52,13687,14093,16217
53,11579,11330,11179
54,11546,11332,11139
55,14107,13385,13335
56,11027,9892,9509
57,11545,11296,11054
58,11039,9938,9573
59,11038,9936,9575
60,11579,11330,11152
61,11658,11422,11189
62,11041,9922,9568
63,11549,11334,11128
