,14,15,16
3.824,0.0008726976145565563,0.009906434131166784,0.0014502729184691645
3.99191278565,0.01182880135857611,0.009906434131166784,0.011585280748675817
4.16719866324,0.02824876353478433,0.009724332297439837,0.032327360784525354
4.35018138707,0.0042460095477463225,0.009552632912196561,0.01870852064825226
4.54119892755,0.0042460095477463225,0.01189068991574569,0.009699855001801646
4.74060409546,0.0042460095477463225,0.016641704592614028,0.007795216936771753
4.94876519362,0.003972310503951557,8.757570609046673e-06,0.007795216936771753
5.16606669707,1.7922923653121902e-05,8.757570609046673e-06,0.006116090713686801
5.39290996327,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
5.62971397339,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
5.87691610615,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
6.1349729457,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
6.40436112488,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
6.68557820563,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
6.97914359794,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
7.28559951923,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
7.6055119958,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
7.93947190833,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
8.2880960832,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
8.65202843181,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
9.03194113984,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
9.42853590883,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
9.8425452522,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
10.2747338482,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
10.7258999524,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
11.1968768717,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
11.6885345041,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
12.2017809447,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
12.7375641634,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
13.2968737557,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
13.8807427705,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
14.4902496182,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
15.1265200623,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
15.7907292989,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
16.4841041274,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
17.207925216,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
17.9635294677,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
18.7523124889,1.79229236531219e-05,8.757570609046673e-06,7.468769471137461e-06
19.5757311676,1.79229236531219e-05,8.757570609046673e-06,7.468769471137461e-06
20.4353063641,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
21.3326257201,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
22.2693465909,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
23.2471991067,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
24.2679893684,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
25.3336027829,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
26.4460075459,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
27.6072582772,1.7922923653121902e-05,8.757570609046673e-06,7.468769471137461e-06
