,14,15,16
0,15326,230,514
1,134,191,701
2,145,298,769
3,116,277,485
4,753,179,543
5,113,226,557
6,145,687,945
7,99,231,604
8,139,188,598
9,117,185,3387
10,128,217,1853
11,105,238,718
12,160,217,665
13,111,178,2979
14,93,338,681
15,119,193,314
16,77,1287,7924
17,96,236,637
18,115,360,392
19,180,241,614
20,139,193,577
21,107,308,654
22,812,275,430
23,78,293,673
24,138,329,798
25,137,414,654
26,112,249,601
27,128,319,1106
28,104,251,3282
29,129,188,434
30,122,179,1070
31,177,185,391
32,122,301,3705
33,169,289,605
34,111,303,711
35,569,191,579
36,118,278,3099
37,182,166,405
38,105,319,548
39,94,197,608
40,156,181,526
41,87,154,789
42,132,263,798
43,315,347,574
44,129,227,433
45,130,226,752
46,156,789,403
47,116,331,567
48,120,1544,419
49,187,335,547
50,143,330,722
51,163,144,699
52,327,728,4746
53,148,235,737
54,121,273,512
55,96,185,697
56,74767,179,543
57,123,396,629
58,136,1219,607
59,130,200,543
60,162,256,598
61,137,268,711
62,122,232,485
63,82,397,494
