,14,15,16
0,91851,79803,85061
1,81842,79309,78427
2,76879,81162,77573
3,125229,132179,132049
4,80543,81142,82140
5,77635,81719,82615
6,129117,129485,126319
7,77815,80916,78356
8,93389,89035,79606
9,81693,88272,85656
10,78749,81530,84841
11,87954,88851,81974
12,76842,81387,77603
13,83618,81310,77554
14,122655,131317,122804
15,77022,79872,80291
16,127951,129927,123615
17,127386,130580,128774
18,120526,124022,120879
19,89696,87742,82102
20,78694,81166,76933
21,79772,82024,81501
22,77168,79425,80841
23,95010,91308,84177
24,76708,79798,79131
25,79206,80988,79908
26,93331,82458,83369
27,83543,88094,84239
28,88341,89496,81012
29,123541,123280,127239
30,83745,80901,80633
31,78759,83640,78280
32,131549,136886,126286
33,76323,79540,79489
34,77164,81331,80082
35,78589,82746,79632
36,79779,80905,79378
37,79325,79731,84500
38,125882,131547,131949
39,79481,83031,79041
40,123411,124083,114723
41,125829,137829,126094
42,77914,78918,77602
43,122357,125447,124002
44,76236,85793,78064
45,123425,126220,125020
46,124797,125961,120386
47,91264,86754,82473
48,85580,86958,84487
49,130105,131940,127247
50,127652,126644,132439
51,124742,122411,124431
52,123285,125515,125093
53,77953,82019,74719
54,129749,134356,123465
55,78821,79458,77540
56,120750,124764,124288
57,79034,85724,83242
58,122852,124559,120477
59,121293,119326,122155
60,93539,90422,85363
61,125039,131247,131570
62,124321,130912,122054
63,125690,125740,124633
