,14,15,16
0,95893,116296,113655
1,72051,97191,108808
2,71261,98331,97016
3,76196,97238,108125
4,73956,97417,102486
5,99680,117019,114018
6,73176,91892,95867
7,71246,96279,107361
8,92959,115339,112924
9,100112,116807,115236
10,70631,95383,98623
11,72654,92753,95742
12,72967,95900,96609
13,72986,99479,98181
14,71680,95094,99215
15,92402,116946,121784
16,94374,116870,117169
17,101339,116620,114878
18,95428,114725,112675
19,93886,115968,113197
20,93863,116131,113833
21,70434,97567,102922
22,71852,101865,96572
23,71634,100209,100732
24,91780,114533,115013
25,71717,92190,95064
26,72186,95026,96673
27,93315,115926,115390
28,93882,116112,114248
29,97169,128612,112425
30,73510,92590,97077
31,97148,120032,116130
32,95736,130752,113383
33,72075,92500,97312
34,92249,114846,115657
35,93181,117089,112909
36,93248,116715,114020
37,70349,93660,97736
38,95564,115820,113438
39,70876,93235,95111
40,93792,117933,124096
41,70126,95771,101774
42,94270,115959,113943
43,98280,116929,113958
44,73069,94396,95720
45,73104,91691,94470
46,92492,114502,116527
47,71805,93174,95742
48,99624,116677,114562
49,72941,95238,96773
50,98404,116403,117284
51,91942,114746,113111
52,70562,95073,100853
53,75202,97672,96483
54,77468,98296,101519
55,78329,101323,102181
56,93545,116548,113190
57,75553,98047,97323
58,71193,95156,97018
59,69964,94219,99551
60,93669,116156,114040
61,73299,94253,96124
62,71228,92348,96899
63,93002,115864,118816
