,14,15,16
0,62726,63996,63897
1,46448,51915,52632
2,41124,47639,52482
3,47382,50710,53069
4,46241,51875,52656
5,64690,63608,63434
6,47372,50853,52346
7,63128,63655,63893
8,63126,68318,64236
9,63130,61211,64294
10,59577,65087,67108
11,46836,46343,51264
12,63781,64989,63872
13,63331,64378,64812
14,46537,52564,52631
15,46241,47814,51522
16,46182,50992,52725
17,47778,52118,51703
18,63884,64770,66643
19,63299,65347,64575
20,63378,67732,66860
21,47456,49778,53182
22,65273,67210,64804
23,63087,67783,67261
24,47068,50074,49703
25,64181,63438,64795
26,64902,68021,65168
27,46824,48115,52616
28,60206,63470,65473
29,60387,70218,63411
30,46379,44765,52783
31,64486,58647,62801
32,59739,69548,66864
33,47262,51687,53668
34,46426,51103,49913
35,65246,59948,64023
36,47748,52551,52256
37,63973,67756,64021
38,46944,51679,52587
39,43697,49346,52004
40,59092,60592,65524
41,47215,51418,52436
42,47013,50988,52085
43,61446,63648,61537
44,47544,52205,51810
45,47738,51782,51162
46,47760,47944,50207
47,47439,51951,50334
48,46213,51114,50131
49,46433,51530,49884
50,46904,51906,52988
51,46900,51898,51330
52,49715,68312,65915
53,47075,50629,49447
54,46702,50135,53566
55,62043,63653,64997
56,47605,50501,52115
57,61256,59543,64046
58,53409,67748,62240
59,46990,52063,53463
60,64207,68453,64117
61,46795,50218,51245
62,63953,64274,67394
63,45533,51285,52595
