,14,15,16
0,55575,59442,57594
1,56357,59406,57717
2,56461,58758,58082
3,56759,61782,59455
4,55366,61326,58149
5,71068,76709,74402
6,71418,76845,75030
7,71531,76969,73323
8,60962,58679,58519
9,70784,76613,73324
10,57668,58863,57369
11,71308,75700,74393
12,56299,59754,57636
13,71414,76439,75422
14,71194,76596,73634
15,70934,75834,74309
16,55841,58476,57906
17,71604,75423,73175
18,58099,59705,59446
19,56098,59355,58264
20,55528,59577,57900
21,55986,59204,58464
22,75173,76029,74215
23,71789,76278,73400
24,55622,58849,57448
25,70492,76208,74437
26,57565,58779,57896
27,56924,60222,56201
28,71268,76359,73791
29,70962,75155,74941
30,55893,60938,57472
31,74022,76970,74042
32,74822,76667,74377
33,57076,59511,58159
34,71220,77056,75667
35,57684,58929,55331
36,71596,76423,73936
37,57345,61426,58386
38,55554,58436,58867
39,55739,58444,58162
40,56329,59826,57745
41,56640,58592,58844
42,71232,76746,73929
43,73664,76719,75364
44,72021,78461,73668
45,70997,76560,73520
46,59898,59926,56996
47,58259,57911,57093
48,72565,75281,74452
49,57755,58716,56755
50,72780,80568,74184
51,58536,58360,57325
52,56521,60171,57325
53,56307,59847,59661
54,55724,60855,55962
55,75014,77113,75090
56,75471,76365,75214
57,55525,58845,56457
58,57827,61713,60453
59,71421,76225,73680
60,71084,77616,74349
61,57242,58481,57958
62,71179,76971,74115
63,56266,58488,58020
