log2_bs,0.0,1.0,5.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,95.0,99.0,99.5,99.9,99.95,99.99,iops
9,0,473,970,1269,1613,1957,2408,2998,3719,4685,6127,8454,10813,16908,19529,27656,32112,46923,6802.239925
10,0,464,970,1253,1597,1925,2342,2932,3620,4620,5996,8224,10551,15794,17956,23724,26345,31326,7008.733042
11,0,452,946,1253,1581,1908,2342,2932,3653,4620,5931,8290,10551,15269,17432,22413,24772,30015,7040.398653
12,0,473,962,1253,1581,1908,2342,2899,3620,4554,5931,8224,10551,15925,18481,25296,31064,42729,7016.666111
13,0,493,1011,1335,1679,2007,2441,2998,3719,4620,5931,8290,10551,15925,18481,28442,35389,56885,6862.504583
14,0,733,1384,1728,2211,2637,3063,3555,4177,5013,6193,8454,10944,17432,21102,34865,43778,67633,6156.661445
15,0,2088,4554,5341,6062,6586,7110,7634,8224,9109,10420,12779,15400,22937,26869,36962,44302,51118,3294.123529
16,0,2408,8454,10813,12124,13041,13828,14876,16187,17694,20578,25559,31064,46399,53739,66846,69730,80216,1671.21096
9,0,456,970,1269,1630,1974,2441,3031,3817,4816,6258,8847,11337,17694,20578,30801,34340,43778,6600.626625
10,0,473,987,1269,1613,1941,2375,2965,3719,4685,6062,8355,10551,15532,17956,23461,25559,32636,6876.074928
11,0,497,995,1286,1630,1941,2408,2998,3751,4751,6062,8355,10682,15925,18481,23986,27394,34340,6819.40602
12,0,485,987,1286,1613,1925,2342,2899,3653,4620,5996,8355,10682,16318,19005,27656,34340,47448,6882.107859
13,0,460,987,1318,1679,2007,2441,2998,3719,4685,5996,8355,10682,16187,19005,29491,38010,49020,6828.178121
14,0,790,1433,1777,2244,2670,3096,3588,4227,5013,6258,8355,10682,17170,20054,31588,41156,68681,6130.162328
15,0,2211,4620,5406,6127,6651,7110,7634,8290,9109,10420,12779,15138,22151,25821,36962,44826,54788,3283.981068
16,0,5603,10551,11468,12386,13172,14090,15007,16187,17694,20054,24772,29753,42729,49020,68681,73924,90701,1654.211526
9,0,489,1003,1269,1613,1957,2441,2998,3751,4751,6127,8585,11075,17170,19791,27394,30801,38535,6747.70841
10,0,485,1003,1286,1613,1941,2375,2965,3686,4620,5996,8290,10420,15400,17432,23199,25559,31850,6957.036198
11,0,509,1003,1286,1613,1941,2375,2965,3719,4685,6062,8290,10551,15663,17956,23199,26345,32374,6905.039664
12,0,518,1019,1302,1630,1941,2375,2965,3719,4685,6062,8454,10682,15925,18481,27918,31326,44826,6831.172294
13,0,593,1105,1400,1744,2088,2539,3096,3817,4751,6127,8355,10682,16318,18743,28704,39583,56885,6659.756016
14,0,921,1515,1826,2310,2736,3162,3653,4292,5079,6324,8585,10944,17170,20578,34865,43253,63176,5994.033532
15,0,4227,5079,5603,6258,6717,7176,7700,8355,9240,10420,12779,15400,22151,25034,35389,41680,53739,3209.119392
16,0,9371,10813,11468,12386,13303,14090,15138,16318,17956,20578,25296,31064,44826,51642,65798,70778,82313,1612.992467
9,0,481,995,1286,1646,1990,2473,3063,3850,4816,6324,8847,11337,17432,20316,30539,34340,52690,6575.094994
10,0,444,937,1236,1597,1925,2375,2932,3653,4620,5996,8355,10682,15925,17956,23199,25559,30539,6962.101263
11,0,423,929,1220,1581,1892,2310,2899,3620,4620,5996,8355,10682,15925,18219,24248,26869,32636,7004.966501
12,0,411,929,1236,1597,1925,2375,2932,3686,4620,5996,8454,10682,16056,18481,27656,32374,49545,6921.169294
