,9,10,11,12,13,14,15,16
0,474,1013,2278,7471,9865,11027,9919,9582
1,503,1065,2444,7894,10252,11958,11483,11058
2,477,1016,2279,7517,9950,11079,9995,9609
3,498,1061,2442,8000,10434,11861,12107,12005
4,475,1013,2277,7474,9856,11039,9938,9573
5,484,1008,2611,10497,14433,17039,17409,11147
6,478,1017,2278,7493,9893,11098,10009,9597
7,503,1064,2444,7864,10120,11583,11330,11085
8,471,984,2263,9026,12119,14107,13385,13335
9,503,1064,2444,7817,10066,11547,11316,11062
10,475,1012,2275,7542,10011,11339,10195,9942
11,491,1061,2440,7816,10070,11549,11334,11128
12,470,1016,2279,7513,9898,11082,10008,9644
13,474,1013,2276,7473,9854,11037,9928,9578
14,503,1062,2442,7810,10069,11541,11331,10590
15,468,1017,2280,7551,9901,11140,10017,9600
16,503,1062,2441,7813,10068,11546,11315,11060
17,477,1016,2279,7499,9940,11108,10006,9611
18,503,1064,2444,7809,10067,11548,11313,11076
19,475,1012,2278,7469,9851,11029,9876,9515
20,501,1060,2443,7853,10273,11795,11705,10922
21,474,1012,2276,7496,9888,11129,10058,9630
22,503,1064,2445,7869,10108,11613,11346,11115
23,503,1064,2444,7854,10118,11615,11328,11183
24,478,1017,2279,7466,9860,11036,9965,9550
25,499,1060,2440,7816,10073,11549,11329,10998
26,474,1009,2270,8041,10699,12302,11331,11164
27,503,1064,2444,7858,10121,11577,11331,11188
28,477,1016,2278,7502,9914,11107,10055,9622
29,503,1064,2444,7889,10252,11658,11422,11189
30,474,1012,2275,7467,9856,11034,9922,9586
31,503,1064,2444,7854,10115,11579,11330,11152
32,473,981,2276,8712,11768,13430,12702,12529
33,503,1064,2444,7811,10069,11546,11332,11139
34,477,1016,2279,7485,9887,11059,9976,9582
35,474,1013,2277,7475,9847,11038,9953,9548
36,503,1063,2442,7815,10069,11548,11311,11120
37,475,1013,2278,7473,9857,11028,9916,9511
38,503,1062,2442,7810,10068,11544,11312,11080
39,478,1016,2279,7494,9897,11079,10014,9620
40,503,1059,2442,7814,10069,11544,11319,11103
41,474,1012,2277,7466,9848,11027,9892,9509
42,501,1056,2425,8791,11798,13687,14093,16217
43,478,1016,2279,7503,9959,11088,10022,9602
44,503,1062,2442,7814,10071,11545,11296,11054
45,503,1064,2445,7815,10068,11544,11305,11068
46,474,1013,2278,7467,9853,11038,9936,9575
47,503,1064,2444,7854,10138,11573,11337,11179
48,475,1017,2279,7495,9903,11073,9936,9581
49,502,1062,2441,7811,10068,11533,11309,11072
50,478,1017,2278,7523,9898,11070,9925,9580
51,503,1064,2443,7844,10127,11578,11332,11141
52,478,1016,2279,7474,9849,11029,9923,9584
53,503,1062,2442,7812,10069,11548,11328,11164
54,476,1017,2279,7506,9901,11070,9984,9582
55,503,1064,2443,7855,10130,11582,11327,11104
56,474,1013,2277,7426,9865,11059,9990,9594
57,474,1012,2278,7471,9851,11030,9919,9579
58,503,1063,2443,7815,10079,11546,11331,11082
59,474,1013,2277,7472,9855,11041,9922,9568
60,503,1064,2443,7863,10136,11579,11330,11179
61,503,1064,2444,7860,10117,11614,11344,11134
62,474,1013,2277,7470,9855,11098,10058,9679
63,503,1063,2442,7814,10072,11547,11303,11058
