log2_bs,0.0,1.0,5.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,95.0,99.0,99.5,99.9,99.95,99.99,iops
9,0,585,675,733,798,856,946,1089,1302,1499,1712,2146,2703,4227,4947,6848,7700,10289,21109.563015
10,0,602,700,749,815,888,995,1171,1400,1597,1794,2244,2768,4145,4751,6324,6914,9109,20245.125162
11,0,577,675,733,790,847,905,1011,1204,1417,1646,2007,2473,3817,4423,5799,6455,9371,22319.422686
12,0,643,733,774,839,913,1019,1187,1368,1531,1728,2146,2670,4882,6782,13434,16908,27656,19898.170061
13,0,1253,1466,1597,1826,2211,2572,2899,3194,3522,3981,4882,5865,9633,12648,19791,22675,27131,8844.143724
14,0,1875,2211,2408,2768,3260,3817,4292,4816,5472,6651,9633,13172,23986,28704,46923,131596,250609,5033.965534
15,0,3096,3686,4046,4685,5537,6586,7634,9109,11599,14614,19791,26083,44302,67633,242221,312475,434110,2535.715476
16,0,5144,6389,7372,9502,12779,15663,17956,20054,22413,25821,32636,41156,110624,202375,497025,700448,1233125,1283.44777
9,0,593,684,749,823,913,1089,1368,1564,1712,1957,2506,3129,4685,5406,7831,8978,13959,18448.518383
10,0,593,700,757,823,905,1056,1286,1515,1679,1925,2473,3096,4554,5210,6717,7372,12124,18934.368854
11,0,626,733,790,880,1019,1236,1466,1630,1794,2088,2670,3293,4751,5472,7241,8290,11075,17421.019299
12,0,618,724,782,880,1003,1204,1449,1630,1794,2088,2703,3424,5734,7766,13697,16580,21889,16937.768741
13,0,1302,1499,1597,1859,2277,2703,3031,3325,3686,4227,5144,6127,9895,12779,21364,25034,30539,8495.483484
14,0,1990,2310,2539,2965,3489,4014,4489,4947,5603,6782,9764,13434,23986,29229,43253,120061,204472,4911.869604
15,0,3096,3751,4145,4882,5668,6586,7700,9109,11468,14352,19529,25296,42205,62652,183500,283115,534773,2585.813806
16,0,5079,6520,7634,10420,13565,15925,17956,19791,22413,25559,31850,41156,141557,229638,583008,666894,784334,1244.250383
9,0,493,544,577,634,684,716,749,782,831,929,1253,1515,2310,2932,4882,5799,11075,33069.797673
10,0,485,536,577,634,684,724,757,798,847,970,1302,1597,2605,3325,5406,6520,8978,32203.893204
11,0,505,561,602,659,700,741,774,806,856,954,1236,1515,2342,2998,5210,6586,10551,32339.688677
12,0,536,602,643,700,741,774,806,847,913,1073,1449,1794,3522,4816,9109,11862,18481,28704.143195
13,0,1073,1220,1302,1400,1466,1531,1613,1761,2023,2408,2965,3555,5799,7372,11730,13828,18219,14059.598013
14,0,1597,1843,1957,2113,2211,2342,2506,2801,3325,4177,6258,8978,15794,18481,28442,52690,145752,7796.429523
15,0,2244,2801,3096,3457,3719,4079,4685,5865,7569,9371,12124,15663,25821,33161,94896,160432,200278,3825.355111
16,0,4554,5275,5931,7176,9240,10813,11993,13172,14483,16449,20578,25296,91750,135266,248512,278921,333447,1944.237051
9,0,569,692,757,839,954,1171,1433,1613,1761,2023,2605,3227,4685,5472,7307,8585,11599,17924.202527
10,0,577,692,757,839,946,1155,1417,1613,1777,2056,2637,3260,4882,5603,7503,8159,10289,17853.738209
11,0,593,700,765,847,970,1187,1449,1630,1810,2088,2670,3293,4620,5275,6651,7110,8585,17639.71201
